PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,Rank
87,167.7,8.1,17.9,25.5,44,8.1,23.8,48.2,0,0,0,310,Hazardous
89.6,126.7,6.6,19.8,25.9,39.2,6.6,48.1,44.8,0,0,0,223,Severe
80.7,101.9,6.9,16.1,22.3,40.5,6.9,39.9,32.7,0,0,0,192,Very Unhealthy
44.8,78.9,7.8,16.5,24.3,41.5,7.8,9.9,8.1,0,0,0,191,Very Unhealthy
38.1,77.4,7.4,11.6,19,41.1,7.4,3.1,6.7,2.5,5.9,0.7,184,Very Unhealthy
45.5,93.6,8.6,15.6,24.2,43.9,8.6,0.8,3.8,5.1,8.5,1.8,220,Severe
37,90.3,8.2,11.5,19.7,42.5,8.2,0.5,5.2,3.6,8.2,1.3,215,Severe
43.6,99,8.3,13.3,21.6,42.3,8.3,1,7.6,3.6,6.8,1.5,226,Severe
45.5,102.7,9.6,14.9,24.5,47.6,9.6,0.8,2.9,3.7,6.6,1.2,251,Severe
38.1,85.3,8.7,18.6,27.3,44.1,8.7,1.1,4.6,2.9,5.1,0.7,216,Severe
45.4,97.8,9.4,20.6,29.9,46.5,9.4,0.7,4.5,2.8,7.2,0.8,237,Severe
37.7,77.9,8.5,16.3,24.8,43.6,8.5,0.9,4.6,2.5,7.6,0.8,198,Very Unhealthy
32.4,82.9,7.5,14.4,21.9,39.7,7.5,2.2,12.2,1.9,7.9,0.7,195,Very Unhealthy
34.7,76.7,7.6,13.5,21.1,40.7,7.6,4.1,12.2,1.8,6.2,0.5,187,Very Unhealthy
32.6,76.6,7.3,13.9,21.3,39,7.3,4,11.9,2.6,9.3,1,181,Very Unhealthy
29.3,70.7,7.6,11.7,19.2,39.5,7.6,4,12.6,1.6,7,0.6,179,Very Unhealthy
20.5,73.7,7.2,10.6,17.8,37.9,7.2,5.6,12.7,1.3,5.2,0.3,188,Very Unhealthy
26.1,72.2,8,11.1,19.1,40.2,8,4.1,10.6,1.5,6.9,0.6,190,Very Unhealthy
21.4,71.8,7.5,11.2,18.6,37.8,7.5,5,7.4,1.4,6.7,0.8,185,Very Unhealthy
11.9,74.8,7.3,10.1,17.4,36.7,7.3,10.9,5.5,1.3,12.2,0.7,189,Very Unhealthy
57.8,83.7,8.7,9.7,18.4,46.4,8.7,12.3,3.1,2,6.5,0.7,196,Very Unhealthy
66.4,91.8,8.6,12.8,21.4,47.2,8.6,11.1,5,1.8,6.2,0.6,201,Severe
62.6,102,9.2,9.8,19,49.1,9.2,12.3,6.4,1.9,5.5,0.4,231,Severe
47.5,81.6,8.1,9.5,17.6,44.4,8.1,13.9,7.3,1.3,4,0.1,196,Very Unhealthy
111.8,119,9.2,11.5,20.7,56.1,9.2,5.3,6,1.8,5.7,0.3,220,Severe
30,96.8,8.9,13.6,22.6,44.1,8.9,8.1,6.3,1.3,4.6,0.2,244,Severe
4.7,70,9,10.9,20.4,41.5,9,7.3,6.4,1.3,3.9,0.1,223,Severe
48.7,91.5,9.6,11.9,21.5,48.3,9.6,5.7,6.6,1.8,5,0.4,230,Severe
49.7,100.2,9.4,9.8,19.2,48.8,9.4,6.8,6.4,2,4.8,0.3,243,Severe
48.1,94.1,8,9.5,17.6,44.8,8,9.3,7.6,1.7,4.4,0.2,215,Severe
47.4,82.1,8.1,9.5,17.6,45.6,8.1,7.9,7.1,2.1,3.6,0.1,199,Very Unhealthy
51.7,78.1,8.9,12.4,21.3,47.4,8.9,10.1,5.8,2.2,3.6,0.3,200,Very Unhealthy
